Date : 2025-05-16 22:21:04
Directory : e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt
Total : 202 files,  289844 codes, 6180 comments, 12295 blanks, all 308319 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\aggregate.cpp    | C++      |         98 |          8 |         13 |        119 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\aggregate.h      | C++      |         41 |          3 |         15 |         59 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\camera.cpp       | C++      |         56 |         13 |         14 |         83 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\film.cpp         | C++      |         25 |          8 |          9 |         42 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\integrator.cpp   | C++      |        566 |         89 |        109 |        764 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\integrator.h     | C++      |        139 |         11 |         45 |        195 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\intersect.h      | C++      |        225 |         12 |         42 |        279 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\media.cpp        | C++      |        267 |         35 |         53 |        355 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\samples.cpp      | C++      |         44 |         12 |         13 |         69 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\subsurface.cpp   | C++      |        156 |         15 |         38 |        209 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\surfscatter.cpp  | C++      |        250 |         43 |         38 |        331 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\wavefront.cpp    | C++      |         46 |         14 |         13 |         73 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\wavefront.h      | C++      |          8 |          3 |          8 |         19 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\workitems.h      | C++      |        415 |         35 |         55 |        505 |
| e:\Data\BJTU\NJU1\4.Research\pbrt-v4\src\pbrt\wavefront\workqueue.h      | C++      |        139 |         13 |         25 |        177 |
| Total                                                                    |          |    289,844 |      6,180 |     12,295 |    308,319 |
+--------------------------------------------------------------------------+----------+------------+------------+------------+------------+
